Company Name,CODE
HDFC Bank Ltd.,HDFBAN
Reliance Industries Ltd.,RELPET
Housing Development Fin. Corp. Ltd.,HDFC
Infosys Limited,INFTEC
ICICI Bank Ltd.,ICIBAN
ITC Ltd.,ITC
Tata Consultancy Services Ltd.,TCS
 Kotak Mahindra Bank Limited,KOTMAH
Larsen and Toubro Ltd.,LARTOU
Hindustan Unilever Ltd.,HINLEV
Axis Bank Ltd.,AXIBAN
State Bank of India,STABAN
Bajaj Finance Ltd.,BAJFI
Maruti Suzuki India Limited,MARUTI
Indusind Bank Ltd.,INDBA
Asian Paints Limited,ASIPAI
Bharti Airtel Ltd.,BHAAIR
HCL Technologies Ltd.,HCLTEC
Titan Company Ltd.,TITIND
Mahindra & Mahindra Ltd.,MAHMAH
Bajaj Finserv Ltd,BAFINS
NTPC Limited,NTPC
Nestle India Ltd.,NESIND
Power Grid Corporation of India Ltd,POWGRI
UltraTech Cement Limited,ULTCEM
Tech Mahindra Ltd.,TECMAH
Sun Pharmaceutical Industries Ltd.,SUNPHA
Oil & Natural Gas Corporation Ltd.,ONGC
Bajaj Auto Limited,BAAUTO
Bharat Petroleum Corporation Ltd.,BHARAS
Indian Oil Corporation Ltd.,INDOIL
Coal India Ltd.,COALIN
Wipro Ltd.,WIPRO
Hero MotoCorp Ltd.,HERHON
Britannia Industries Ltd.,BRIIND
UPL Ltd.,UNIP
Dr Reddys Laboratories Ltd.,DRREDD
 Adani Ports & Special Economic Zone,ADAPOR
Grasim Industries Ltd.,GRASIM
Vedanta Ltd.,VEDLIM
 Hindalco Industries Ltd,HINDAL
Tata Steel Ltd.,TATSTE
 Eicher Motors Ltd.,EICMOT
GAIL (India) Ltd.,GAIL
JSW Steel Ltd,JSWSTE
Bharti Infratel Ltd.,BHAINF
Cipla Ltd.,CIPLA
Tata Motors Ltd.,TATMOT
Zee Entertainment Enterprises Ltd,ZEEENT
Yes Bank Ltd.,YESBAN
